circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:1008194|1035324	0.0454	exon	1.000	39.000	0.049	ENSG00000187608.10,ENSG00000188157.15	ISG15,AGRN	protein_coding,protein_coding
chr1:1116060|1257130	0.0454	exon	1.000	117.000	0.017	ENSG00000078808.19,ENSG00000184163.3,ENSG00000160087.21,ENSG00000186827.11,ENSG00000186891.14,ENSG00000131591.18,ENSG00000260179.1,ENSG00000205231.1	SDF4,C1QTNF12,UBE2J2,TNFRSF4,TNFRSF18,C1orf159,ENSG00000260179,TTLL10-AS1	protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,lncRNA,lncRNA
chr1:1669664|1734835	0.0454	exon	1.000	41.000	0.047	ENSG00000268575.1,ENSG00000189339.12,ENSG00000215790.8,ENSG00000008128.23	ENSG00000268575,SLC35E2B,SLC35E2A,CDK11A	lncRNA,protein_coding,transcribed_unprocessed_pseudogene,protein_coding
chr1:1890820|1930336	0.0909	exon	2.000	202.000	0.019	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:1890820|1942156	0.0909	exon	2.000	2.000	0.667	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:6226363|6232630	0.0454	intron	1.000	2.000	0.500	ENSG00000116237.16	ICMT	protein_coding
chr1:8655973|8656441	0.0454	exon	1.000	35.000	0.054	ENSG00000142599.19	RERE	protein_coding
chr1:15872816|15876678	0.1363	exon	3.000	63.000	0.087	ENSG00000065526.12	SPEN	protein_coding
chr1:19199651|19267461	0.0454	exon	1.000	9.000	0.182	ENSG00000127463.16,ENSG00000286064.1,ENSG00000211454.16,ENSG00000127481.15	EMC1,ENSG00000286064,AKR7L,UBR4	protein_coding,unprocessed_pseudogene,polymorphic_pseudogene,protein_coding
chr1:19268572|19304386	0.1818	exon	4.000	235.000	0.033	ENSG00000162482.5,ENSG00000053371.13,ENSG00000211454.16	AKR7A3,AKR7A2,AKR7L	protein_coding,protein_coding,polymorphic_pseudogene
chr1:21002713|21111383	0.0909	exon	2.000	61.000	0.062	ENSG00000233072.1,ENSG00000075151.24,ENSG00000236073.2	RPS15AP6,EIF4G3,ENSG00000236073	processed_pseudogene,protein_coding,processed_pseudogene
chr1:21089138|21111383	0.0909	exon	2.000	60.000	0.062	ENSG00000075151.24	EIF4G3	protein_coding
chr1:21715389|21729832	0.0909	exon	2.000	94.000	0.041	ENSG00000090686.16	USP48	protein_coding
chr1:23692717|23693913	0.0454	exon	1.000	6051.000	0.000	ENSG00000142676.14	RPL11	protein_coding
chr1:26729651|26732792	0.0454	exon	1.000	55.000	0.035	ENSG00000117713.21	ARID1A	protein_coding
chr1:26942660|26943065	0.0909	exon	2.000	756.000	0.005	ENSG00000090273.14	NUDC	protein_coding
chr1:27897005|27907282	0.0454	exon	1.000	540.000	0.004	ENSG00000117748.10	RPA2	protein_coding
chr1:28590277|28622165	0.0454	exon	1.000	29.000	0.065	ENSG00000120656.14	TAF12	protein_coding
chr1:31920410|31920619	0.0454	intron	1.000	1.000	0.667	ENSG00000269967.1,ENSG00000184007.22	ENSG00000269967,PTP4A2	lncRNA,protein_coding
chr1:32184525|32188124	0.0454	exon	1.000	298.000	0.007	ENSG00000084652.16	TXLNA	protein_coding
chr1:32592931|32754180	0.0909	exon	2.000	46.000	0.080	ENSG00000160062.15,ENSG00000162522.11,ENSG00000254553.1,ENSG00000200591.1,ENSG00000162521.19	ZBTB8A,KIAA1522,ENSG00000254553,Y_RNA,RBBP4	protein_coding,protein_coding,protein_coding,misc_RNA,protein_coding
chr1:36091910|36093514	0.0454	exon	1.000	159.000	0.012	ENSG00000116863.11	ADPRS	protein_coding
chr1:36170971|36173478	0.0454	exon	1.000	196.000	0.010	ENSG00000116871.16	MAP7D1	protein_coding
chr1:36286368|36287270	0.0454	exon	1.000	310.000	0.006	ENSG00000054118.15	THRAP3	protein_coding
chr1:36348770|36358271	0.0454	exon	1.000	155.000	0.013	ENSG00000196182.11	STK40	protein_coding
chr1:46061929|46080750	0.0454	exon	1.000	58.000	0.033	ENSG00000117461.15,ENSG00000278139.1	PIK3R3,P3R3URF-PIK3R3	protein_coding,protein_coding
chr1:52856998|52864157	0.0454	exon	1.000	39.000	0.049	ENSG00000203995.10	ZYG11A	protein_coding
chr1:58681785|58685251	0.0454	exon	1.000	88.000	0.022	ENSG00000162601.11	MYSM1	protein_coding
chr1:66958059|66963160	0.0454	exon	1.000	111.000	0.018	ENSG00000198160.15	MIER1	protein_coding
chr1:70222766|70250503	0.0454	exon	1.000	749.000	0.003	ENSG00000116754.14	SRSF11	protein_coding
chr1:85707691|85707855	0.0454	exon	1.000	281.000	0.007	ENSG00000117174.11	ZNHIT6	protein_coding
chr1:93183360|93264901	0.0909	exon	2.000	27.000	0.129	ENSG00000122483.18	CCDC18	protein_coding
chr1:93221609|93264901	0.0909	exon	2.000	33.000	0.108	ENSG00000122483.18	CCDC18	protein_coding
chr1:108752257|108760085	0.0454	exon	1.000	114.000	0.017	ENSG00000116266.11	STXBP3	protein_coding
chr1:117402186|117405645	0.4090	exon	9.000	100.000	0.153	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117414831	0.2727	exon	6.000	104.000	0.103	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117420649	1.3180	exon	29.000	22.000	0.725	ENSG00000198162.12	MAN1A2	protein_coding
chr1:117402186|117442325	0.4999	exon	11.000	26.000	0.458	ENSG00000198162.12	MAN1A2	protein_coding
