circ_id	cpm	circ_type	bsj	fsj	junc_ratio	gene_id	gene_name	gene_type
chr1:805799|810170	0.3807	exon	9.000	2.000	0.900	ENSG00000230021.10,ENSG00000230092.7	ENSG00000230021,ENSG00000230092	transcribed_processed_pseudogene,transcribed_unprocessed_pseudogene
chr1:925922|943808	0.0423	exon	1.000	8.000	0.200	ENSG00000187634.13	SAMD11	protein_coding
chr1:930155|939412	0.1269	exon	3.000	29.000	0.171	ENSG00000187634.13	SAMD11	protein_coding
chr1:931039|939129	0.0423	exon	1.000	105.000	0.019	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939412	0.1692	exon	4.000	27.000	0.229	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|939460	0.7190	exon	17.000	0.000	1.000	ENSG00000187634.13	SAMD11	protein_coding
chr1:935772|941306	0.0423	exon	1.000	35.000	0.054	ENSG00000187634.13	SAMD11	protein_coding
chr1:939040|939460	0.0846	exon	2.000	60.000	0.062	ENSG00000187634.13	SAMD11	protein_coding
chr1:948490|951238	0.0423	exon	1.000	74.000	0.026	ENSG00000188976.11	NOC2L	protein_coding
chr1:948490|952139	0.0423	exon	1.000	113.000	0.017	ENSG00000188976.11	NOC2L	protein_coding
chr1:955923|957273	0.1269	exon	3.000	181.000	0.032	ENSG00000188976.11	NOC2L	protein_coding
chr1:1008194|1035324	0.0423	exon	1.000	24.000	0.077	ENSG00000187608.10,ENSG00000188157.15	ISG15,AGRN	protein_coding,protein_coding
chr1:1084353|1092103	0.0423	exon	1.000	20.000	0.091	ENSG00000131591.18	C1orf159	protein_coding
chr1:1223244|1223968	2.1148	exon	50.000	40.000	0.714	ENSG00000078808.19	SDF4	protein_coding
chr1:1223244|1228946	0.0423	exon	1.000	80.000	0.024	ENSG00000078808.19	SDF4	protein_coding
chr1:1256045|1263386	0.0423	exon	1.000	0.000	1.000	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256045|1267992	0.2115	exon	5.000	56.000	0.152	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1257310	0.5498	exon	13.000	42.000	0.382	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1256992|1267992	0.0846	exon	2.000	9.000	0.308	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1262170|1263386	0.0423	exon	1.000	2.000	0.500	ENSG00000160087.21	UBE2J2	protein_coding
chr1:1303983|1304127	0.0423	exon	1.000	21.000	0.087	ENSG00000131584.19	ACAP3	protein_coding
chr1:1335895|1336282	0.0423	exon	1.000	24.000	0.077	ENSG00000107404.21	DVL1	protein_coding
chr1:1387235|1390865	0.1692	exon	4.000	33.000	0.195	ENSG00000221978.13	CCNL2	protein_coding
chr1:1387235|1395514	0.0423	exon	1.000	28.000	0.067	ENSG00000221978.13	CCNL2	protein_coding
chr1:1482138|1518990	0.0423	exon	1.000	6.000	0.250	ENSG00000284740.2,ENSG00000197785.14,ENSG00000160072.20	ENSG00000284740,ATAD3A,ATAD3B	transcribed_unprocessed_pseudogene,protein_coding,protein_coding
chr1:1561332|1564916	0.0846	exon	2.000	29.000	0.121	ENSG00000160075.12	SSU72	protein_coding
chr1:1668327|1739704	0.2115	exon	5.000	0.000	1.000	ENSG00000268575.1,ENSG00000189339.12,ENSG00000215790.8,ENSG00000008128.23	ENSG00000268575,SLC35E2B,SLC35E2A,CDK11A	lncRNA,protein_coding,transcribed_unprocessed_pseudogene,protein_coding
chr1:1756503|1765446	0.0423	exon	1.000	39.000	0.049	ENSG00000008130.15	NADK	protein_coding
chr1:1761577|1762035	0.0423	intron	1.000	42.000	0.045	ENSG00000008130.15	NADK	protein_coding
chr1:1761891|1765446	0.0423	exon	1.000	5.000	0.286	ENSG00000008130.15	NADK	protein_coding
chr1:1789053|1790596	0.0423	exon	1.000	49.000	0.039	ENSG00000078369.18	GNB1	protein_coding
chr1:1790395|1793311	0.0423	exon	1.000	60.000	0.032	ENSG00000078369.18	GNB1	protein_coding
chr1:1793245|1825482	0.1269	exon	3.000	9.000	0.400	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1806538	0.2538	exon	6.000	4.000	0.750	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1817875	0.1692	exon	4.000	9.000	0.471	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1825499	0.0423	exon	1.000	5.000	0.286	ENSG00000078369.18	GNB1	protein_coding
chr1:1804419|1839238	0.1692	exon	4.000	0.000	1.000	ENSG00000078369.18	GNB1	protein_coding
chr1:1815756|1825499	0.2115	exon	5.000	0.000	1.000	ENSG00000078369.18	GNB1	protein_coding
chr1:1815756|1839238	0.4230	exon	10.000	113.000	0.150	ENSG00000078369.18	GNB1	protein_coding
chr1:1825397|1853297	0.0423	intron	1.000	111.000	0.018	ENSG00000078369.18	GNB1	protein_coding
chr1:1839190|1930336	0.0423	exon	1.000	6.000	0.250	ENSG00000142609.20,ENSG00000078369.18,ENSG00000178821.13	CFAP74,GNB1,TMEM52	protein_coding,protein_coding,protein_coding
chr1:2055441|2056573	0.1269	exon	3.000	9.000	0.400	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2055441|2059591	0.0846	exon	2.000	16.000	0.200	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2135262|2156092	0.1269	exon	3.000	11.000	0.353	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2169518|2175313	0.2115	exon	5.000	7.000	0.588	ENSG00000067606.17	PRKCZ	protein_coding
chr1:2302978|2304585	1.4381	exon	34.000	65.000	0.511	ENSG00000157933.10	SKI	protein_coding
chr1:2393232|2403589	0.0423	intron	1.000	0.000	1.000	ENSG00000157916.20	RER1	protein_coding
chr1:2393270|2402342	0.0423	intron	1.000	38.000	0.050	ENSG00000157916.20	RER1	protein_coding
chr1:2395784|2400935	0.0846	exon	2.000	22.000	0.154	ENSG00000157916.20	RER1	protein_coding
chr1:2395784|2403589	0.0846	exon	2.000	16.000	0.200	ENSG00000157916.20	RER1	protein_coding
chr1:3635944|3646782	0.0846	exon	2.000	5.000	0.444	ENSG00000116213.16	WRAP73	protein_coding
chr1:3682333|3707791	0.2115	exon	5.000	5.000	0.667	ENSG00000078900.15	TP73	protein_coding
chr1:3738223|3746186	0.0846	exon	2.000	27.000	0.129	ENSG00000227372.12	TP73-AS1	transcribed_unitary_pseudogene
chr1:3740233|3746181	0.0423	exon	1.000	3.000	0.400	ENSG00000227372.12	TP73-AS1	transcribed_unitary_pseudogene
chr1:3740233|3746186	0.2961	exon	7.000	22.000	0.389	ENSG00000227372.12	TP73-AS1	transcribed_unitary_pseudogene
chr1:3781512|3784111	0.0423	exon	1.000	45.000	0.043	ENSG00000130764.10	LRRC47	protein_coding
chr1:3823174|3823562	0.0423	exon	1.000	6.000	0.250	ENSG00000116198.14	CEP104	protein_coding
chr1:3831046|3837519	0.0423	exon	1.000	15.000	0.118	ENSG00000116198.14	CEP104	protein_coding
chr1:3867974|3872572	0.1692	exon	4.000	4.000	0.667	ENSG00000169598.17	DFFB	protein_coding
chr1:3867974|3883800	0.0423	exon	1.000	15.000	0.118	ENSG00000169598.17	DFFB	protein_coding
chr1:5828007|5828808	0.0423	intergenic	1.000	0.000	1.000	None	None	None
chr1:5828007|5952836	0.0423	intron	1.000	21.000	0.087	ENSG00000264101.1,ENSG00000131697.18	MIR4689,NPHP4	miRNA,protein_coding
chr1:5863890|5880239	0.0423	exon	1.000	12.000	0.143	ENSG00000131697.18	NPHP4	protein_coding
chr1:5873252|5880239	0.2538	exon	6.000	0.000	1.000	ENSG00000131697.18	NPHP4	protein_coding
